Date,Description,Category,Balance,Amount
2025-01-07,Movie Ticket,Entertainment,11826.8,-375.58
2025-01-02,Restaurant Bill,Food,11496.94,-329.86
2025-01-06,Netflix Subscription,Entertainment,11305.99,-190.95
2025-01-06,Doctor Visit,Healthcare,10914.48,-391.51
2025-01-05,Fast Food,Food,10461.13,-453.35
2025-01-02,Train Ticket,Transportation,10412.39,-48.74
2025-01-07,Netflix Subscription,Entertainment,10007.49,-404.9
2025-01-08,Movie Ticket,Entertainment,9723.3,-284.19
2025-01-07,Concert Ticket,Entertainment,9561.87,-161.43
2025-01-02,Health Insurance Payment,Healthcare,9079.07,-482.8
2025-01-02,Water Bill,Utilities,9021.18,-57.89
2025-01-06,Health Insurance Payment,Healthcare,8614.89,-406.29
2025-01-01,Pharmacy Purchase,Healthcare,8220.59,-394.3
2025-01-09,Bonus Payment,Income,10699.3,2478.71
2025-01-07,Movie Ticket,Entertainment,10226.78,-472.52
2025-01-07,Pet Supplies,Misc,10057.98,-168.8
2025-01-06,Uber Ride,Transportation,9693.87,-364.11
2025-01-03,Netflix Subscription,Entertainment,9405.46,-288.41
2025-01-06,Fast Food,Food,9024.7,-380.76
2025-01-04,Gas Station,Transportation,8874.84,-149.86
2025-01-04,Starbucks Coffee,Food,8669.41,-205.43
2025-01-04,Freelance Payment,Income,9871.22,1201.81
2025-01-09,Amazon Purchase,Misc,9467.17,-404.05
2025-01-03,Monthly Rent Payment,Rent,9444.27,-22.9
2025-01-01,Pet Supplies,Misc,8994.75,-449.52
2025-01-06,Gift Shop,Misc,8552.18,-442.57
2025-01-07,Concert Ticket,Entertainment,8222.35,-329.83
2025-01-02,Bonus Payment,Income,9954.3,1731.95
2025-01-10,Concert Ticket,Entertainment,9856.73,-97.57
2025-01-08,Freelance Payment,Income,12532.91,2676.18
2025-01-03,Gas Bill,Utilities,12367.29,-165.62
2025-01-07,Grocery Store,Food,12091.73,-275.56
2025-01-04,Doctor Visit,Healthcare,11706.53,-385.2
2025-01-07,Gift Shop,Misc,11604.98,-101.55
2025-01-07,Gas Station,Transportation,11290.52,-314.46
2025-01-10,Clothing Store,Misc,11285.04,-5.48
2025-01-06,Freelance Payment,Income,12628.44,1343.4
